,budget (in Million),original_language,runtime,title,movie_id,preprocessed_overview,overview,rating,preprocessed_keywords,preprocessed_genres,preprocessed_cast,preprocessed_director,preprocessed_producer,preprocessed_spoken_languages,preprocessed_production_companies,preprocessed_production_countries,preprocessed_producer_director
590,70,en,116.0,The Siege,9882,secret us abduct suspect terrorist lead wave terrorist attack new york lead declar martial law,the secret us abduction of a suspected terrorist leads to a wave of terrorist attacks in new york that lead to the declaration of martial law,6.0,islam muslim car-bomb fbi-agent,drama action thriller crime,denzel-washington annette-bening bruce-willis tony-shalhoub sami-bouajila,edward-zwick,lynda-obst edward-zwick,Español English العربية,twentieth-century-fox-film-corporation lynda-obst-productions,United-States-of-America,lynda-obst edward-zwick
591,70,en,127.0,Stardust,2270,countrysid town border magic land young man make promis belov hell retriev fallen star ventur magic realm journey take world beyond wildest dream reveal true ident,in a countryside town bordering on a magical land a young man makes a promise to his beloved that hell retrieve a fallen star by venturing into the magical realm his journey takes him into a world beyond his wildest dreams and reveals his true identity,7.1,witch based-on-novel new-love prince beauty star kingdom wall falling-star royalty unrequited-love good-vs-evil fratricide,adventure fantasy romance family,claire-danes charlie-cox michelle-pfeiffer robert-de-niro sienna-miller,matthew-vaughn,matthew-vaughn lorenzo-di-bonaventura chantal-feghali neil-gaiman michael-dreyer,English,paramount-pictures ingenious-film-partners,Iceland United-Kingdom United-States-of-America,matthew-vaughn lorenzo-di-bonaventura chantal-feghali neil-gaiman michael-dreyer
592,70,en,136.0,Seven Years in Tibet,978,austrian mountain heinrich harrer journey himalaya without famili head expedit 1939 world war ii break arrog harrer fall alli forc hand prison war escap fellow detaine make way llaso tibet meet 14yearold dalai lama whose friendship ultim transform outlook life,austrian mountaineer heinrich harrer journeys to the himalayas without his family to head an expedition in 1939 but when world war ii breaks out the arrogant harrer falls into allied forces hands as a prisoner of war he escapes with a fellow detainee and makes his way to llaso tibet where he meets the 14yearold dalai lama whose friendship ultimately transforms his outlook on life,7.0,buddhism himalaya austria mountains buddhist-monk world-war-ii prisoners-of-war monsoon tibet dalai-lama mountaineer lhasa wedding,adventure drama history,brad-pitt jamyang-jamtsho-wangchuk david-thewlis bd-wong mako,jean-jacques-annaud,iain-smith jean-jacques-annaud john-h.-williams,English,tristar-pictures mandalay-entertainment,United-States-of-America,iain-smith jean-jacques-annaud john-h.-williams
593,70,en,111.0,The Dilemma,44564,longtim friend ronni nick partner autodesign firm hard work present dream project would realli launch compani ronni spot nick wife anoth man process investig possibl affair learn nick secret present near ronni agon might happen truth get,longtime friends ronny and nick are partners in an autodesign firm they are hard at work on a presentation for a dream project that would really launch their company then ronny spots nicks wife out with another man and in the process of investigating the possible affair he learns that nick has a few secrets of his own as the presentation nears ronny agonizes over what might happen if the truth gets out,5.2,adultery infidelity secret investigation friendship partner love friends dilemma cheating-on-partner best-friend,comedy drama,kevin-james vince-vaughn winona-ryder jennifer-connelly queen-latifah,ron-howard,brian-grazer vince-vaughn ron-howard,English,imagine-entertainment universal-pictures,United-States-of-America,brian-grazer vince-vaughn ron-howard
594,70,en,116.0,Bad Company,3132,harvardeduc cia agent kill oper secret agenc recruit twin brother,when a harvardeducated cia agent is killed during an operation the secret agency recruits his twin brother,5.4,ambush cia assassin nightclub hustler hidden-camera decoy undercover-agent twin-brother deception betrayal mistaken-identity shootout espionage foot-chase car-chase silencer surveillance agent impersonation langley-virginia odd-couple,action adventure comedy thriller,anthony-hopkins chris-rock peter-stormare gabriel-macht kerry-washington,joel-schumacher,jerry-bruckheimer mike-stenson michael-browning,English,jerry-bruckheimer-films touchstone-pictures,United-States-of-America,jerry-bruckheimer mike-stenson michael-browning joel-schumacher
595,60,en,105.0,Doom,8814,team space marin known rapid respons tactic squad led sarg sent scienc facil mar somebodi report secur breach learn alert came test subject mass murder purpos inject alien dna broke free began kill peopl dr grimm relat team member reaper inform chromosom mutat human monster highli infecti,a team of space marines known as the rapid response tactical squad led by sarge is sent to a science facility on mars after somebody reports a security breach there they learn that the alert came after a test subject a mass murderer purposefully injected with alien dna broke free and began killing people dr grimm who is related to team member reaper informs them all that the chromosome can mutate humans into monsters  and is highly infectious,5.0,teleportation based-on-video-game severed-ear future-war wisecrack-humor commando-mission,adventure action horror,dwayne-johnson karl-urban rosamund-pike ben-daniels deobia-oparei,andrzej-bartkowiak,lorenzo-di-bonaventura john-wells,日本語 English,di-bonaventura-pictures john-wells-productions,Czech-Republic Germany United-Kingdom United-States-of-America,lorenzo-di-bonaventura john-wells andrzej-bartkowiak
596,70,en,97.0,I Spy,8427,switchblad sophist prototyp stealth fighter creat yet stolen us govern one unit state top spi alex scott call action doesnt expect get team cocki civilian world class box champion kelli robinson danger top secret espionag mission assign use equal part skill humor catch arnold gundar one world success arm dealer,when the switchblade the most sophisticated prototype stealth fighter created yet is stolen from the us government one of the united states top spies alex scott is called to action what he doesnt expect is to get teamed up with a cocky civilian world class boxing champion kelly robinson on a dangerous top secret espionage mission their assignment using equal parts skill and humor catch arnold gundars one of the worlds most successful arms dealers,5.2,budapest kidnapping boxer secret-agent liberation-of-hostage hostage-taking woman-director,action adventure comedy thriller,eddie-murphy owen-wilson famke-janssen keith-dallas malcolm-mcdowell,betty-thomas,betty-thomas,English Magyar Pусский,columbia-pictures-corporation,United-States-of-America,betty-thomas
597,70,en,88.0,Underworld: Awakening,52520,held comalik state fifteen year vampir selen learn fourteenyearold vampirelycan hybrid daughter name nissa find must stop biocom creat super lycan kill,after being held in a comalike state for fifteen years vampire selene learns that she has a fourteenyearold vampirelycan hybrid daughter named nissa and when she finds her they must stop biocom from creating super lycans that will kill them all,6.1,vampire daughter hybrid child-vampire werewolf imax lab-experiment werewolf-child fang-vamp,fantasy action horror,kate-beckinsale stephen-rea michael-ealy theo-james india-eisley,måns-mårlind,tom-rosenberg len-wiseman gary-lucchesi richard-s.-wright,English Pусский,lakeshore-entertainment saturn-films,United-States-of-America,tom-rosenberg len-wiseman gary-lucchesi richard-s.-wright måns-mårlind
598,75,en,123.0,Rock of Ages,80585,small town girl citi boy meet sunset strip pursu hollywood dream,a small town girl and a city boy meet on the sunset strip while pursuing their hollywood dreams,6.0,musical rocker teenager young-love rock-sta,comedy drama music romance,julianne-hough diego-boneta tom-cruise alec-baldwin russell-brand,adam-shankman,tobey-maguire adam-shankman jennifer-gibgot garrett-grant scott-prisand matt-weaver,English ภาษาไทย,new-line-cinema offspring-entertainment,United-States-of-America,tobey-maguire adam-shankman jennifer-gibgot garrett-grant scott-prisand matt-weaver
599,70,en,125.0,Hart's War,10592,fourthgener armi col william mcnamara imprison brutal german pow camp still seniorrank american offic command fellow inmat keep sens honor aliv place honor easi destroy danger eye luftwaf vetran col wilhelm visser never give fight win war mcnamara silent plan wait moment strike back enemi murder camp give chanc set riski plan motion court martial keep visser german distract mcnamara orchestr cun scheme escap destroy nearbi munit plant enlist unwit help young lt tommi hart togeth men mcnamara use hero resolv carri mission ultim forc weigh valu life good countri,fourthgeneration army col william mcnamara is imprisoned in a brutal german pow camp still as the seniorranking american officer he commands his fellow inmates keeping a sense of honor alive in a place where honor is easy to destroy all under the dangerous eye of the luftwafe vetran col wilhelm visser never giving up the fight to win the war mcnamara is silently planning waiting for his moment to strike back at the enemy a murder in the camp gives him the chance to set a risky plan in motion with a court martial to keep visser and the germans distracted mcnamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant enlisting the unwitting help of young lt tommy hart together with his men mcnamara uses a heros resolve to carry out his mission ultimately forced to weigh the value of his life against the good of his country,5.9,black-people world-war-ii prisoners-of-war u.s.-army war escape tribunal trial soldier military-tribunal xenophobia,drama war,bruce-willis colin-farrell terrence-howard marcel-iureș cole-hauser,gregory-hoblit,david-foster stephen-j.-eads arnold-rifkin gregory-hoblit david-ladd patricia-graf,English Deutsch,david-foster-productions cheyenne-enterprises,United-States-of-America,david-foster stephen-j.-eads arnold-rifkin gregory-hoblit david-ladd patricia-graf
600,66,en,116.0,Killer Elite,49021,base shock true stori killer elit pit two world elit operativesdanni exspeci op agent hunter longtim mentoragainst cun leader secret militari societi cover globe australia pari london middl east danni hunter plung highli danger game cat mousewher predat becom prey,based on a shocking true story killer elite pits two of the worlds most elite operativesdanny an exspecial ops agent and hunter his longtime mentoragainst the cunning leader of a secret military society covering the globe from australia to paris london and the middle east danny and hunter are plunged into a highly dangerous game of cat and mousewhere the predators become the prey,6.1,rescue,action adventure thriller,jason-statham clive-owen robert-de-niro dominic-purcell yvonne-strahovski,gary-mckendry,sigurjón-sighvatsson steve-chasman tony-winley michael-boughen,English,current-entertainment omnilab-media,Australia United-States-of-America,sigurjón-sighvatsson steve-chasman tony-winley michael-boughen gary-mckendry
601,0,en,98.0,Rollerball,11535,director die hard come highoctan thriller roar along breakneck pace lo angel time star chri klein american pie jean reno ronin cool j charli angel rebecca romijnstamo xmen rollerbal goe fullthrottl excit deathdefi open explos end jonathan cross klein newest recruit extrem sport time fast move killer look make instant superstar cross life fast lane collid realiti learn leagu owner reno orchestr seriou oncourt accid boost rate cross plan take owner ruthless sport game put end,from the director of die hard comes this highoctane thriller that roars along at a breakneck pace los angeles times starring chris klein american pie jean reno ronin ll cool j charlies angels and rebecca romijnstamos xmen rollerball goes fullthrottle with excitement from its deathdefying opening until its explosive end jonathan cross klein is the newest recruit in the most extreme sport of all time where his fast moves and killer looks make him an instant superstar but cross life in the fast lane collides with reality when he learns that the leagues owner reno is orchestrating serious oncourt accidents to boost ratings now cross plans to take down the owner and his ruthless sport before the game puts an end to him,3.4,manager arena dystopia wrestling sport roller-skating motorcycle-racing rollerskating future-sport,action science-fiction thriller,chris-klein ll-cool-j rebecca-romijn naveen-andrews jean-reno,john-mctiernan,charles-roven john-mctiernan beau-st.-clair,Deutsch Français 日本語 한국어/조선말 Pусский العربية English,atlas-entertainment toho-towa,Germany Japan United-States-of-America,charles-roven john-mctiernan beau-st.-clair
602,70,en,91.0,Ballistic: Ecks vs. Sever,10550,jonathan eck fbi agent realiz must join lifelong enemi agent sever rogu dia agent mortal combat order defeat common enemi enemi develop microdevic inject victim order kill,jonathan ecks an fbi agent realizes that he must join with his lifelong enemy agent sever a rogue dia agent with whom he is in mortal combat in order to defeat a common enemy that enemy has developed a microdevice that can be injected into victims in order to kill them at will,4.3,loss-of-family enemy adversary agent,action adventure thriller,antonio-banderas lucy-liu gregg-henry ray-park talisa-soto,wych-kaosayananda,elie-samaha chris-lee wych-kaosayananda,English Español,epsilon-motion-pictures franchise-pictures,Germany United-States-of-America,elie-samaha chris-lee wych-kaosayananda
603,70,en,97.0,Hard Rain,11258,get swept action armor car driver christian slater tri elud gang thiev led morgan freeman flood ravag countrysid hard rain wild thrill chill action ride fill close call uncertain loyalti heartstop heroic,get swept up in the action as an armored car driver christian slater tries to elude a gang of thieves led by morgan freeman while a flood ravages the countryside hard rain is a wild thrilling chilling action ride filled with close calls uncertain loyalties and heartstopping heroics,5.5,sheriff rain evacuation armored-car crook hoodlum,thriller,morgan-freeman christian-slater randy-quaid minnie-driver ed-asner,mikael-salomon,gary-levinsohn mark-gordon ian-bryce art-levinson,English,paramount-pictures toho-towa,Denmark France New-Zealand United-Kingdom United-States-of-America,gary-levinsohn mark-gordon ian-bryce art-levinson mikael-salomon
604,75,en,95.0,Osmosis Jones,12610,policeman white blood cell help cold pill must stop deadli viru destroy human live frank,a policeman white blood cell with the help of a cold pill must stop a deadly virus from destroying the human they live in frank,5.9,cold flu lethal-virus construction-worker,adventure animation action comedy family,chris-rock laurence-fishburne david-hyde-pierce brandy-norwood bill-murray,bobby-farrelly,bobby-farrelly peter-farrelly bradley-thomas zak-penn dennis-edwards,English,conundrum-entertainment warner-bros.-animation,United-States-of-America,bobby-farrelly peter-farrelly bradley-thomas zak-penn dennis-edwards
605,70,en,88.0,Legends of Oz: Dorothy's Return,59981,dorothi wake posttornado kansa whisk back oz tri save old friend scarecrow lion tin man glinda deviou new villain jester wiser owl marshal mallow china princess tugg tugboat join dorothi latest magic journey color landscap oz restor order happi emerald citi,dorothy wakes up in posttornado kansas only to be whisked back to oz to try to save her old friends the scarecrow the lion the tin man and glinda from a devious new villain the jester wiser the owl marshal mallow china princess and tugg the tugboat join dorothy on her latest magical journey through the colorful landscape of oz to restore order and happiness to emerald city,5.9,,animation music family,lea-michele dan-aykroyd patrick-stewart hugh-dancy jim-belushi,dan-st.-pierre,bonne-radford roland-carroll ryan-carroll,English,prana-animation-studios summertime-entertainment,India United-States-of-America,bonne-radford roland-carroll ryan-carroll dan-st.-pierre
606,70,en,133.0,Blackhat,201088,man releas prison help american chines author pursu mysteri cyber crimin danger search lead chicago hong kong,a man is released from prison to help american and chinese authorities pursue a mysterious cyber criminal the dangerous search leads them from chicago to hong kong,5.1,terrorist technology anti-hero hacker computer-virus national-security-agency-(nsa) race-against-time computer malaysia nuclear-power-plant suspense betrayal conspiracy on-the-run fugitive shootout hacking terrorism cat-and-mouse one-against-many computer-hacker no-opening-credits terrorist-plot stock-exchange cybercrime cyber-terrorism chinese-military cyber-terrorist cyber-thriller,crime drama mystery,chris-hemsworth leehom-wang tang-wei viola-davis holt-mccallany,michael-mann,michael-mann thomas-tull jon-jashni,English Italiano 普通话 Español,universal-pictures forward-pass,United-States-of-America,michael-mann thomas-tull jon-jashni
607,70,en,107.0,Sky Captain and the World of Tomorrow,5137,gigant robot attack new york citi sky captain use privat air forc fight exgirlfriend report polli perkin investig recent disappear promin scientist suspect link global robot attack miss men sky captain polli decid work togeth fli himalaya pursuit mysteri dr totenkopf mastermind behind robot,when gigantic robots attack new york city sky captain uses his private air force to fight them off his exgirlfriend reporter polly perkins has been investigating the recent disappearance of prominent scientists suspecting a link between the global robot attacks and missing men sky captain and polly decide to work together they fly to the himalayas in pursuit of the mysterious dr totenkopf the mastermind behind the robots,5.7,london-england himalaya journalist killer-robot computer-war robot,mystery action thriller science-fiction adventure,jude-law gwyneth-paltrow giovanni-ribisi angelina-jolie bai-ling,kerry-conran,jude-law jon-avnet sadie-frost marsha-oglesby, Deutsch English,paramount-pictures natural-nylon-entertainment,United-Kingdom United-States-of-America,jude-law jon-avnet sadie-frost marsha-oglesby kerry-conran
608,70,en,114.0,Basic Instinct 2,3093,novelist catherin tramel troubl law scotland yard appoint psychiatrist dr michael glass evalu though like detect nick curran glass entranc tramel lure seduct game,novelist catherine tramell is once again in trouble with the law and scotland yard appoints psychiatrist dr michael glass to evaluate her though like detective nick curran before him glass is entranced by tramell and lured into a seductive game,4.6,male-nudity sex legs soho-london playing-god jacuzzi,crime mystery thriller,sharon-stone david-morrissey charlotte-rampling david-thewlis stan-collymore,michael-caton-jones,,English Deutsch,intermedia-films kanzaman,Germany United-Kingdom United-States-of-America,michael-caton-jones
609,50,en,115.0,Escape Plan,107846,ray breslin world foremost author structur secur analyz everi high secur prison learn vast array surviv skill design escapeproof prison skill put test he frame incarcer master prison design need escap find person put behind bar,ray breslin is the worlds foremost authority on structural security after analyzing every high security prison and learning a vast array of survival skills so he can design escapeproof prisons his skills are put to the test hes framed and incarcerated in a master prison he designed himself he needs to escape and find the person who put him behind bars,6.7,prison muslim ship mystery science-fiction escape crime prison-escape cia-agent,action thriller,sylvester-stallone arnold-schwarzenegger jim-caviezel vinnie-jones 50-cent,mikael-håfström,kevin-king-templeton randall-emmett mark-canton robbie-brenner remington-chase,English Deutsch العربية اردو,summit-entertainment atmosphere-entertainment-mm,United-States-of-America,kevin-king-templeton randall-emmett mark-canton robbie-brenner remington-chase mikael-håfström
610,70,en,99.0,The Legend of Hercules,188207,ancient greec 1200 bc queen succumb lust zeu bear son promis overthrow tyrann rule king restor peac land hardship princ hercul know noth real ident destini desir one thing love hebe princess crete promis brother hercul learn greater purpos must choos flee true love fulfil destini becom true hero time stori behind one greatest myth reveal actionpack epic tale love sacrific strength human spirit,in ancient greece 1200 bc a queen succumbs to the lust of zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship but this prince hercules knows nothing of his real identity or his destiny he desires only one thing the love of hebe princess of crete who has been promised to his own brother when hercules learns of his greater purpose he must choose to flee with his true love or to fulfill his destiny and become the true hero of his time the story behind one of the greatest myths is revealed in this actionpacked epic  a tale of love sacrifice and the strength of the human spirit,4.4,mythology zeus ancient-greece demigod city-of-argos mistaken-parentage,action adventure,kellan-lutz liam-mcintyre gaia-weiss scott-adkins roxanne-mckee,renny-harlin,boaz-davidson renny-harlin les-weldon danny-lerner,English,millennium-films,United-States-of-America,boaz-davidson renny-harlin les-weldon danny-lerner
611,68,en,124.0,The Sum of All Fears,4614,presid russia suddenli die man whose polit virtual unknown succe chang polit leader spark paranoia among american cia offici cia director bill cabot recruit young analyst suppli insight advic situat unthink happen nuclear bomb explod us citi america quick blame russian,when the president of russia suddenly dies a man whose politics are virtually unknown succeeds him the change in political leaders sparks paranoia among american cia officials so cia director bill cabot recruits a young analyst to supply insight and advice on the situation then the unthinkable happens a nuclear bomb explodes in a us city and america is quick to blame the russians,5.9,cia terrorist atomic-bomb cold-war nuclear-explosion jack-ryan,thriller action drama,ben-affleck morgan-freeman james-cromwell ken-jenkins liev-schreiber,phil-alden-robinson,mace-neufeld,العربية English Pусский Український Deutsch,paramount-pictures mace-neufeld-productions,United-States-of-America,mace-neufeld phil-alden-robinson
612,68,en,124.0,The Twilight Saga: Eclipse,24021,bella find surround danger seattl ravag string mysteri kill malici vampir continu quest reveng midst forc choos love edward friendship jacob know decis potenti ignit ageless struggl vampir werewolf graduat quickli approach bella confront import decis life,bella once again finds herself surrounded by danger as seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge in the midst of it all she is forced to choose between her love for edward and her friendship with jacob knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf with her graduation quickly approaching bella is confronted with the most important decision of her life,5.8,vampire graduation bite immortality werewolf fang-vamp,adventure fantasy drama romance,kristen-stewart robert-pattinson taylor-lautner ashley-greene peter-facinelli,david-slade,karen-rosenfelt wyck-godfrey,English,summit-entertainment maverick-films,United-States-of-America,karen-rosenfelt wyck-godfrey david-slade
613,68,en,124.0,The Score,11371,age thief hope retir live illgotten wealth young kid convinc one last heist,an aging thief hopes to retire and live off his illgotten wealth when a young kid convinces him into doing one last heist,6.7,quebec jewel scepter customs-house jewelry-heist blueprint assumed-identity schematic voice-over surveillance-camera one-last-job,action crime thriller,robert-de-niro edward-norton marlon-brando angela-bassett paul-soles,frank-oz,gary-foster lee-rich,English Français,paramount-pictures mandalay-pictures,Germany United-States-of-America,gary-foster lee-rich frank-oz
614,69,en,95.0,Despicable Me,20352,villain gru live reput despic deplor downright unlik guy hatch plan steal moon sky tough time stay task three orphan land care,villainous gru lives up to his reputation as a despicable deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky but he has a tough time staying on task after three orphans land in his care,7.2,adoptive-father orphanage life's-dream rivalry stealing ballet little-girl orphan father-daughter-relationship tomboy mother-son-relationship intelligent kids evil-doctor duringcreditsstinger minions supervillain 3d despicable cattivissimo,animation family,steve-carell jason-segel russell-brand julie-andrews will-arnett,pierre-coffin,christopher-meledandri janet-healy john-cohen,English,universal-pictures illumination-entertainment,United-States-of-America,christopher-meledandri janet-healy john-cohen pierre-coffin
615,60,en,103.0,Money Train,11517,veng new york transit cop decid steal trainload subway fare foster brother fellow cop tri protect,a vengeful new york transit cop decides to steal a trainload of subway fares his foster brother a fellow cop tries to protect him,5.4,brother-brother-relationship subway new-york-city new-york-subway train-robbery,action comedy crime,wesley-snipes woody-harrelson jennifer-lopez robert-blake chris-cooper,joseph-ruben,neil-canton jon-peters,English,columbia-pictures,United-States-of-America,neil-canton jon-peters joseph-ruben
616,68,en,115.0,Ted 2,214756,newlyw coupl ted tamilynn want babi order qualifi parent ted prove he person court law,newlywed couple ted and tamilynn want to have a baby but in order to qualify to be a parent ted will have to prove hes a person in a court of law,6.2,sperm-bank sequel buddy courthouse teddy-bear aftercreditsstinger toy-comes-to-life married,comedy,mark-wahlberg seth-macfarlane amanda-seyfried jessica-barth giovanni-ribisi,seth-macfarlane,scott-stuber seth-macfarlane john-jacobs jason-clark,English,universal-pictures fuzzy-door-productions,United-States-of-America,scott-stuber seth-macfarlane john-jacobs jason-clark
617,70,en,127.0,Agora,26428,histor drama set roman egypt concern philosoph hypatia alexandria relationship slave davu torn love possibl gain freedom join rise tide christian,a historical drama set in roman egypt concerning philosopher hypatia of alexandria and her relationship with her slave davus who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of christianity,6.9,christianity philosophy egypt new-love war cult historical-figure history sword-fight ancient-world destiny fall-in-love hypatia misogyny persecution library-of-alexandria political-unrest impossible-love false-history power-relations unfulfillment master-and-servant love-and-romance unfulfilled-love,adventure drama history,rachel-weisz max-minghella oscar-isaac ashraf-barhom michael-lonsdale,alejandro-amenábar,fernando-bovaira,English,himenóptero telecinco-cinema,Spain,fernando-bovaira alejandro-amenábar
618,68,en,121.0,Mystery Men,9824,captain amaz kinnear kidnap casanova frankenstein rush group superhero combin togeth creat plan arent normal superhero group includ hero mr furiou stiller shovel maci blue raja azaria must put power togeth save everyon know love,when captain amazing kinnear is kidnapped by casanova frankenstein rush a group of superheroes combine together to create a plan but these arent normal superheroes now the group who include such heroes as mr furious stiller the shoveller macy and the blue raja azaria must put all the powers together to save everyone they know and love,5.7,bowling hostage sphinx training insane-asylum tools frankenstein casanova superhero based-on-comic-book independent-film comedy spoof skull shovel disco superhero-spoof invisible-man dark-horse-comics invisibility rajah bowling-ball spleen evil-genius,adventure fantasy action comedy science-fiction,ben-stiller geoffrey-rush claire-forlani william-h.-macy hank-azaria,kinka-usher,lawrence-gordon lloyd-levin mike-richardson,English,universal-pictures dark-horse-entertainment,United-States-of-America,lawrence-gordon lloyd-levin mike-richardson kinka-usher
619,36,en,105.0,Hall Pass,48988,best bud rick fred begin show sign restless home wive take bold approach revit marriag grant guy hall pass one week freedom whatev want first seem like dream come true quickli discov expect singl life complet hilari sync realiti,when best buds rick and fred begin to show signs of restlessness at home their wives take a bold approach to revitalize their marriages they grant the guys a hall pass one week of freedom to do whatever they want at first it seems like a dream come true but they quickly discover that their expectations of the single life  and themselves  are completely and hilariously out of sync with reality,5.4,wife-husband-relationship daydream marriage freedom friends,comedy,owen-wilson jason-sudeikis jenna-fischer christina-applegate nicky-whelan,bobby-farrelly,bobby-farrelly peter-farrelly bradley-thomas charles-b.-wessler,English,new-line-cinema conundrum-entertainment,United-States-of-America,bobby-farrelly peter-farrelly bradley-thomas charles-b.-wessler
620,90,en,157.0,The Insider,9008,tell true stori 60 minut televis seri exposé tobacco industri seen eye real tobacco execut jeffrey wigand,tells the true story of a 60 minutes television series exposé of the tobacco industry as seen through the eyes of a real tobacco executive jeffrey wigand,7.3,spy newspaper research interview tobacco insider conspiracy-theory reporter whistleblower columbia-broadcasting-system-(cbs) tobacco-industry,drama thriller,al-pacino russell-crowe christopher-plummer diane-venora bruce-mcgill,michael-mann,michael-mann pieter-jan-brugge,العربية English 日本語 فارسی,spyglass-entertainment forward-pass,United-States-of-America,michael-mann pieter-jan-brugge
621,80,en,114.0,The Finest Hours,300673,coast guard make dare rescu attempt coast cape cod pair oil tanker destroy blizzard 1952,the coast guard makes a daring rescue attempt off the coast of cape cod after a pair of oil tankers are destroyed during a blizzard in 1952,6.3,coast-guard based-on-true-story survival rescue-mission storm-at-sea sinking-ship 1950s 3d,action drama history thriller,chris-pine casey-affleck ben-foster eric-bana holliday-grainger,craig-gillespie,james-whitaker dorothy-aufiero,English,walt-disney-pictures whitaker-entertainment,United-States-of-America,james-whitaker dorothy-aufiero craig-gillespie
622,70,en,128.0,Body of Lies,12113,cia hunt mastermind wave terrorist attack roger ferri agenc man ground move place place scrambl stay ahead evershift event eye sky satellit link watch ferri end realtim link cia ed hoffman strateg event thousand mile away ferri near target discov trust danger necessari surviv,the cias hunt is on for the mastermind of a wave of terrorist attacks roger ferris is the agencys man on the ground moving from place to place scrambling to stay ahead of evershifting events an eye in the sky  a satellite link  watches ferris  at the other end of that realtime link is the cias ed hoffman strategizing events from thousands of miles away and as ferris nears the target he discovers trust can be just as dangerous as it is necessary for survival,6.5,terror falsely-accused based-on-novel dying-and-death jordan dubai intelligence-agency beating,action drama thriller,leonardo-dicaprio russell-crowe mark-strong ali-suliman simon-mcburney,ridley-scott,ridley-scott donald-de-line,العربية English,scott-free-productions de-line-pictures,United-States-of-America United-Kingdom,ridley-scott donald-de-line
623,69,en,114.0,Dinner for Schmucks,38778,rise execut tim wagner work boss host monthli dinner guest bring biggest buffoon get careerboost tim plan attend meet barri man build diorama use stuf mice barri blunder good intent send tim life downward spiral threaten major busi deal possibl scuttl tim engag fiance,rising executive tim wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a careerboost tim plans on not attending until he meets barry a man who builds dioramas using stuffed mice barrys blundering but good intentions send tims life into a downward spiral threatening a major business deal and possibly scuttling tims engagement to his fiancee,5.5,mouse idiot mind-control taxidermy aftercreditsstinger duringcreditsstinger,comedy,steve-carell paul-rudd stephanie-szostak jemaine-clement zach-galifianakis,jay-roach,,English,paramount-pictures dreamworks-skg,United-States-of-America,jay-roach
624,69,en,94.0,Abraham Lincoln: Vampire Hunter,72331,presid lincoln mother kill supernatur creatur fuel passion crush vampir slaveown helper,president lincolns mother is killed by a supernatural creature which fuels his passion to crush vampires and their slaveowning helpers,5.5,usa-president vampire steam-locomotive american-civil-war 19th-century abraham-lincoln 3d,action fantasy horror,benjamin-walker dominic-cooper anthony-mackie mary-elizabeth-winstead rufus-sewell,timur-bekmambetov,tim-burton jim-lemley timur-bekmambetov,English,twentieth-century-fox-film-corporation bazelevs-production,United-States-of-America,tim-burton jim-lemley timur-bekmambetov
625,66,en,112.0,Entrapment,1844,two thiev travel eleg circl tri outsmart process end fall love,two thieves who travel in elegant circles try to outsmart each other and in the process end up falling in love,6.0,"london-england new-year's-eve skyscraper burglar distrust undercover blackmail nudity thief heist older-man-younger-woman-relationship art-thief criminal art-theft millennium manhattan,-new-york-city gala kuala-lumpur-malaysia",romance drama mystery,sean-connery catherine-zeta-jones will-patton maury-chaykin ving-rhames,jon-amiel,sean-connery rhonda-tollefson michael-hertzberg,English,fountainbridge-films regency-enterprises,United-Kingdom United-States-of-America,sean-connery rhonda-tollefson michael-hertzberg jon-amiel
626,66,en,121.0,The X Files,846,mulder sculli taken fbi x file case must find way fight shadowi element govern find truth conspiraci might mean alien colon earth,mulder and scully now taken off the fbis x files cases must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of earth,6.6,bomb helicopter secret obsession extraterrestrial-technology fbi space-marine mutation secret-society secret-organization secret-lab x-files government,mystery science-fiction thriller,david-duchovny gillian-anderson mitch-pileggi william-b.-davis john-neville,rob-bowman,chris-carter daniel-sackheim,English,twentieth-century-fox-film-corporation ten-thirteen-productions,Canada United-States-of-America,chris-carter daniel-sackheim rob-bowman
627,67,en,102.0,The Last Legion,9703,roman empir crumbl young romulu augustu flee citi embark peril voyag britain track legion support,as the roman empire crumbles young romulus augustus flees the city and embarks on a perilous voyage to britain to track down a legion of supporters,5.0,roman-empire emperor ancient-rome western-roman-empire ancient-world julius-caesar,action adventure fantasy war,colin-firth ben-kingsley aishwarya-rai-bachchan peter-mullan kevin-mckidd,doug-lefler,dino-de-laurentiis raffaella-de-laurentiis tarak-ben-ammar martha-de-laurentiis,English,ingenious-film-partners quinta-communications,United-Kingdom Italy France Tunisia,dino-de-laurentiis raffaella-de-laurentiis tarak-ben-ammar martha-de-laurentiis doug-lefler
